chunk_size,n,stable_count,trend_pass_count,val_loss_last_mean,val_loss_last_std
8,3,3,3,0.0016921570058912039,1.200861721574529e-05
16,3,3,2,0.0008277928573079407,1.8471794459363984e-05
64,3,3,2,0.00026443709308902424,2.1590289641201568e-05
