chunk_size,seed,run_dir,stable,nan_batches,val_loss_first,val_loss_last,val_trend_pass,steps_per_sec,raw_tokens_per_sec
64,42,experiments/fp16_chunk_window64_seed42_smoke_20260613_213324,True,0,0.0002778720227070153,0.0002450300089549273,True,25.185321606602336,825066.300250544
64,43,experiments/fp16_chunk_window64_seed43_smoke_20260613_213514,True,0,0.0002623064210638404,0.00029455471667461097,False,25.126459727270298,823137.9963851074
64,44,experiments/fp16_chunk_window64_seed44_smoke_20260613_213647,True,0,0.00027842828421853483,0.0002537265536375344,True,25.253884703574847,827312.4141432489
16,42,experiments/fp16_chunk_window16_seed42_smoke_20260613_213819,True,0,0.0008526085293851793,0.0008384128450416028,True,21.03551044485295,172288.79598996745
16,43,experiments/fp16_chunk_window16_seed43_smoke_20260613_214006,True,0,0.0008284089271910489,0.0008431522292084992,False,20.827956731354327,170588.85248274088
16,44,experiments/fp16_chunk_window16_seed44_smoke_20260613_214212,True,0,0.0008608099888078868,0.0008018134976737201,True,20.688577249915788,169447.2817513956
8,42,experiments/fp16_chunk_window8_seed42_smoke_20260613_214406,True,0,0.0017197576817125082,0.001678799162618816,True,16.867245586808508,69088.23792356765
8,43,experiments/fp16_chunk_window8_seed43_smoke_20260613_214626,True,0,0.0017176499823108315,0.0016897537279874086,True,16.157351331852762,66180.51105526891
8,44,experiments/fp16_chunk_window8_seed44_smoke_20260613_215502,True,0,0.00179619574919343,0.001707918127067387,True,16.903210348898327,69235.54958908755
