dabe/train_base_loss,dabe/train_loss,dabe/train_mtp_loss,dabe/train_stable,dabe/val_base_loss,dabe/val_loss,dabe/val_mtp_loss,dabe/val_stable,epoch,step
6.23272705078125,6.23272705078125,0.0,1.0,,,,,0,4
4.033721923828125,4.033721923828125,0.0,1.0,,,,,0,9
3.0728111267089844,3.0728111267089844,0.0,1.0,,,,,0,14
1.9712905883789062,1.9712905883789062,0.0,1.0,,,,,0,19
0.9619684219360352,0.9619684219360352,0.0,1.0,,,,,0,24
0.425600528717041,0.425600528717041,0.0,1.0,,,,,0,29
0.3115854859352112,0.3115854859352112,0.0,1.0,,,,,0,34
0.19583402574062347,0.19583402574062347,0.0,1.0,,,,,0,39
0.14996910095214844,0.14996910095214844,0.0,1.0,,,,,0,44
0.10513058304786682,0.10513058304786682,0.0,1.0,,,,,0,49
0.11356358975172043,0.11356358975172043,0.0,1.0,,,,,0,54
0.12825298309326172,0.12825298309326172,0.0,1.0,,,,,0,59
0.07269027829170227,0.07269027829170227,0.0,1.0,,,,,0,64
0.05041300877928734,0.05041300877928734,0.0,1.0,,,,,0,69
0.08297408372163773,0.08297408372163773,0.0,1.0,,,,,0,74
0.12492866069078445,0.12492866069078445,0.0,1.0,,,,,0,79
0.053667064756155014,0.053667064756155014,0.0,1.0,,,,,0,84
0.09451820701360703,0.09451820701360703,0.0,1.0,,,,,0,89
0.11230245232582092,0.11230245232582092,0.0,1.0,,,,,0,94
0.08590851724147797,0.08590851724147797,0.0,1.0,,,,,0,99
0.07173242419958115,0.07173242419958115,0.0,1.0,,,,,0,104
0.1198216900229454,0.1198216900229454,0.0,1.0,,,,,0,109
0.07825814932584763,0.07825814932584763,0.0,1.0,,,,,0,114
0.07024175673723221,0.07024175673723221,0.0,1.0,,,,,0,119
0.1131507158279419,0.1131507158279419,0.0,1.0,,,,,0,124
0.08658625930547714,0.08658625930547714,0.0,1.0,,,,,0,129
0.07109805941581726,0.07109805941581726,0.0,1.0,,,,,0,134
0.009386759251356125,0.009386759251356125,0.0,1.0,,,,,0,139
0.07494233548641205,0.07494233548641205,0.0,1.0,,,,,0,144
0.07764312624931335,0.07764312624931335,0.0,1.0,,,,,0,149
0.13428279757499695,0.13428279757499695,0.0,1.0,,,,,0,154
0.06300794333219528,0.06300794333219528,0.0,1.0,,,,,0,159
0.0655590072274208,0.0655590072274208,0.0,1.0,,,,,0,164
0.15026628971099854,0.15026628971099854,0.0,1.0,,,,,0,169
0.06043197587132454,0.06043197587132454,0.0,1.0,,,,,0,174
0.06852070987224579,0.06852070987224579,0.0,1.0,,,,,0,179
0.08826881647109985,0.08826881647109985,0.0,1.0,,,,,0,184
0.075522780418396,0.075522780418396,0.0,1.0,,,,,0,189
0.03682269901037216,0.03682269901037216,0.0,1.0,,,,,0,194
0.05785205960273743,0.05785205960273743,0.0,1.0,,,,,0,199
0.048119526356458664,0.048119526356458664,0.0,1.0,,,,,0,204
0.15427976846694946,0.15427976846694946,0.0,1.0,,,,,0,209
0.10163166373968124,0.10163166373968124,0.0,1.0,,,,,0,214
0.07725624740123749,0.07725624740123749,0.0,1.0,,,,,0,219
0.03844181448221207,0.03844181448221207,0.0,1.0,,,,,0,224
0.06287238746881485,0.06287238746881485,0.0,1.0,,,,,0,229
0.02698802575469017,0.02698802575469017,0.0,1.0,,,,,0,234
0.03955519199371338,0.03955519199371338,0.0,1.0,,,,,0,239
0.06202257424592972,0.06202257424592972,0.0,1.0,,,,,0,244
0.04048636183142662,0.04048636183142662,0.0,1.0,,,,,0,249
0.08304261416196823,0.08304261416196823,0.0,1.0,,,,,0,254
0.06794170290231705,0.06794170290231705,0.0,1.0,,,,,0,259
0.010656831786036491,0.010656831786036491,0.0,1.0,,,,,0,264
0.07459515333175659,0.07459515333175659,0.0,1.0,,,,,0,269
0.014541788958013058,0.014541788958013058,0.0,1.0,,,,,0,274
0.020974574610590935,0.020974574610590935,0.0,1.0,,,,,0,279
0.014702752232551575,0.014702752232551575,0.0,1.0,,,,,0,284
0.04534885659813881,0.04534885659813881,0.0,1.0,,,,,0,289
0.04681708663702011,0.04681708663702011,0.0,1.0,,,,,0,294
0.06415905058383942,0.06415905058383942,0.0,1.0,,,,,0,299
0.05337407439947128,0.05337407439947128,0.0,1.0,,,,,0,304
0.08518391847610474,0.08518391847610474,0.0,1.0,,,,,0,309
0.06302304565906525,0.06302304565906525,0.0,1.0,,,,,0,314
0.01583729311823845,0.01583729311823845,0.0,1.0,,,,,0,319
0.048555951565504074,0.048555951565504074,0.0,1.0,,,,,0,324
0.02497418411076069,0.02497418411076069,0.0,1.0,,,,,0,329
0.033484481275081635,0.033484481275081635,0.0,1.0,,,,,0,334
0.025363173335790634,0.025363173335790634,0.0,1.0,,,,,0,339
