bpe/train_base_loss,bpe/train_loss,bpe/train_mtp_loss,bpe/train_stable,bpe/val_base_loss,bpe/val_loss,bpe/val_mtp_loss,bpe/val_stable,epoch,step
81.66163635253906,81.66163635253906,0.0,1.0,,,,,0,4
36.13100051879883,36.13100051879883,0.0,1.0,,,,,0,9
30.086788177490234,30.086788177490234,0.0,1.0,,,,,0,14
23.337467193603516,23.337467193603516,0.0,1.0,,,,,0,19
17.18903350830078,17.18903350830078,0.0,1.0,,,,,0,24
16.466474533081055,16.466474533081055,0.0,1.0,,,,,0,29
14.061638832092285,14.061638832092285,0.0,1.0,,,,,0,34
11.667409896850586,11.667409896850586,0.0,1.0,,,,,0,39
10.504328727722168,10.504328727722168,0.0,1.0,,,,,0,44
8.378477096557617,8.378477096557617,0.0,1.0,,,,,0,49
8.249637603759766,8.249637603759766,0.0,1.0,,,,,0,54
5.557965278625488,5.557965278625488,0.0,1.0,,,,,0,59
3.5416626930236816,3.5416626930236816,0.0,1.0,,,,,0,64
1.505674123764038,1.505674123764038,0.0,1.0,,,,,0,69
1.4084599018096924,1.4084599018096924,0.0,1.0,,,,,0,74
1.0923113822937012,1.0923113822937012,0.0,1.0,,,,,0,79
1.3926115036010742,1.3926115036010742,0.0,1.0,,,,,0,84
1.1750497817993164,1.1750497817993164,0.0,1.0,,,,,0,89
0.8972275257110596,0.8972275257110596,0.0,1.0,,,,,0,94
0.945978581905365,0.945978581905365,0.0,1.0,,,,,0,99
0.9396899342536926,0.9396899342536926,0.0,1.0,,,,,0,104
0.7829669117927551,0.7829669117927551,0.0,1.0,,,,,0,109
0.7973936796188354,0.7973936796188354,0.0,1.0,,,,,0,114
0.8462945818901062,0.8462945818901062,0.0,1.0,,,,,0,119
0.602890133857727,0.602890133857727,0.0,1.0,,,,,0,124
0.6892315149307251,0.6892315149307251,0.0,1.0,,,,,0,129
0.5954948663711548,0.5954948663711548,0.0,1.0,,,,,0,134
0.634572446346283,0.634572446346283,0.0,1.0,,,,,0,139
0.5826117992401123,0.5826117992401123,0.0,1.0,,,,,0,144
0.7227389812469482,0.7227389812469482,0.0,1.0,,,,,0,149
0.45563507080078125,0.45563507080078125,0.0,1.0,,,,,0,154
0.7841448783874512,0.7841448783874512,0.0,1.0,,,,,0,159
0.7361893057823181,0.7361893057823181,0.0,1.0,,,,,0,164
0.8096201419830322,0.8096201419830322,0.0,1.0,,,,,0,169
0.6393288969993591,0.6393288969993591,0.0,1.0,,,,,0,174
0.5729628801345825,0.5729628801345825,0.0,1.0,,,,,0,179
0.6769905090332031,0.6769905090332031,0.0,1.0,,,,,0,184
0.47230619192123413,0.47230619192123413,0.0,1.0,,,,,0,189
0.45803016424179077,0.45803016424179077,0.0,1.0,,,,,0,194
0.748019814491272,0.748019814491272,0.0,1.0,,,,,0,199
0.48751088976860046,0.48751088976860046,0.0,1.0,,,,,0,204
0.49157094955444336,0.49157094955444336,0.0,1.0,,,,,0,209
0.5173122882843018,0.5173122882843018,0.0,1.0,,,,,0,214
0.3293828070163727,0.3293828070163727,0.0,1.0,,,,,0,219
0.4438099265098572,0.4438099265098572,0.0,1.0,,,,,0,224
0.4537086486816406,0.4537086486816406,0.0,1.0,,,,,0,229
0.36867350339889526,0.36867350339889526,0.0,1.0,,,,,0,234
0.30706530809402466,0.30706530809402466,0.0,1.0,,,,,0,239
0.23435243964195251,0.23435243964195251,0.0,1.0,,,,,0,244
0.6128565669059753,0.6128565669059753,0.0,1.0,,,,,0,249
0.3956495523452759,0.3956495523452759,0.0,1.0,,,,,0,254
0.36087363958358765,0.36087363958358765,0.0,1.0,,,,,0,259
0.5504341125488281,0.5504341125488281,0.0,1.0,,,,,0,264
0.3730504810810089,0.3730504810810089,0.0,1.0,,,,,0,269
0.4431307911872864,0.4431307911872864,0.0,1.0,,,,,0,274
0.3245450258255005,0.3245450258255005,0.0,1.0,,,,,0,279
0.45267966389656067,0.45267966389656067,0.0,1.0,,,,,0,284
0.5645580291748047,0.5645580291748047,0.0,1.0,,,,,0,289
0.4024658203125,0.4024658203125,0.0,1.0,,,,,0,294
0.31617119908332825,0.31617119908332825,0.0,1.0,,,,,0,299
0.37405678629875183,0.37405678629875183,0.0,1.0,,,,,0,304
0.2891252040863037,0.2891252040863037,0.0,1.0,,,,,0,309
0.30201420187950134,0.30201420187950134,0.0,1.0,,,,,0,314
0.245509073138237,0.245509073138237,0.0,1.0,,,,,0,319
0.3573136329650879,0.3573136329650879,0.0,1.0,,,,,0,324
0.39672791957855225,0.39672791957855225,0.0,1.0,,,,,0,329
0.33123263716697693,0.33123263716697693,0.0,1.0,,,,,0,334
0.33067506551742554,0.33067506551742554,0.0,1.0,,,,,0,339
0.3427128493785858,0.3427128493785858,0.0,1.0,,,,,0,344
0.30299633741378784,0.30299633741378784,0.0,1.0,,,,,0,349
0.3912443518638611,0.3912443518638611,0.0,1.0,,,,,0,354
0.4412001967430115,0.4412001967430115,0.0,1.0,,,,,0,359
0.2214694619178772,0.2214694619178772,0.0,1.0,,,,,0,364
0.3052154779434204,0.3052154779434204,0.0,1.0,,,,,0,369
0.2420518398284912,0.2420518398284912,0.0,1.0,,,,,0,374
0.24018827080726624,0.24018827080726624,0.0,1.0,,,,,0,379
0.20034043490886688,0.20034043490886688,0.0,1.0,,,,,0,384
0.23243635892868042,0.23243635892868042,0.0,1.0,,,,,0,389
0.3948226869106293,0.3948226869106293,0.0,1.0,,,,,0,394
0.1699516475200653,0.1699516475200653,0.0,1.0,,,,,0,399
0.22246839106082916,0.22246839106082916,0.0,1.0,,,,,0,404
0.20631630718708038,0.20631630718708038,0.0,1.0,,,,,0,409
0.15343433618545532,0.15343433618545532,0.0,1.0,,,,,0,414
0.24306833744049072,0.24306833744049072,0.0,1.0,,,,,0,419
0.328388512134552,0.328388512134552,0.0,1.0,,,,,0,424
0.14833655953407288,0.14833655953407288,0.0,1.0,,,,,0,429
0.3390424847602844,0.3390424847602844,0.0,1.0,,,,,0,434
0.20425502955913544,0.20425502955913544,0.0,1.0,,,,,0,439
0.1451188623905182,0.1451188623905182,0.0,1.0,,,,,0,444
0.2129552662372589,0.2129552662372589,0.0,1.0,,,,,0,449
0.250748872756958,0.250748872756958,0.0,1.0,,,,,0,454
0.16954255104064941,0.16954255104064941,0.0,1.0,,,,,0,459
0.1946030855178833,0.1946030855178833,0.0,1.0,,,,,0,464
0.26191651821136475,0.26191651821136475,0.0,1.0,,,,,0,469
0.2585486173629761,0.2585486173629761,0.0,1.0,,,,,0,474
0.19138118624687195,0.19138118624687195,0.0,1.0,,,,,0,479
0.2188563048839569,0.2188563048839569,0.0,1.0,,,,,0,484
0.1323533058166504,0.1323533058166504,0.0,1.0,,,,,0,489
0.19696231186389923,0.19696231186389923,0.0,1.0,,,,,0,494
0.21338367462158203,0.21338367462158203,0.0,1.0,,,,,0,499
0.2314884066581726,0.2314884066581726,0.0,1.0,,,,,0,504
0.21536597609519958,0.21536597609519958,0.0,1.0,,,,,0,509
0.16147813200950623,0.16147813200950623,0.0,1.0,,,,,0,514
0.19216591119766235,0.19216591119766235,0.0,1.0,,,,,0,519
0.2068907916545868,0.2068907916545868,0.0,1.0,,,,,0,524
0.22798563539981842,0.22798563539981842,0.0,1.0,,,,,0,529
0.23397868871688843,0.23397868871688843,0.0,1.0,,,,,0,534
0.183694526553154,0.183694526553154,0.0,1.0,,,,,0,539
0.16772913932800293,0.16772913932800293,0.0,1.0,,,,,0,544
0.2231610119342804,0.2231610119342804,0.0,1.0,,,,,0,549
0.2492479383945465,0.2492479383945465,0.0,1.0,,,,,0,554
0.15359395742416382,0.15359395742416382,0.0,1.0,,,,,0,559
0.24630145728588104,0.24630145728588104,0.0,1.0,,,,,0,564
0.21412619948387146,0.21412619948387146,0.0,1.0,,,,,0,569
0.11690597981214523,0.11690597981214523,0.0,1.0,,,,,0,574
0.2519098222255707,0.2519098222255707,0.0,1.0,,,,,0,579
0.2040407359600067,0.2040407359600067,0.0,1.0,,,,,0,584
0.28340476751327515,0.28340476751327515,0.0,1.0,,,,,0,589
0.1680733561515808,0.1680733561515808,0.0,1.0,,,,,0,594
0.16589879989624023,0.16589879989624023,0.0,1.0,,,,,0,599
0.1675628274679184,0.1675628274679184,0.0,1.0,,,,,0,604
0.20051702857017517,0.20051702857017517,0.0,1.0,,,,,0,609
0.1626393049955368,0.1626393049955368,0.0,1.0,,,,,0,614
0.1722901463508606,0.1722901463508606,0.0,1.0,,,,,0,619
0.2181832194328308,0.2181832194328308,0.0,1.0,,,,,0,624
0.18073755502700806,0.18073755502700806,0.0,1.0,,,,,0,629
0.18237312138080597,0.18237312138080597,0.0,1.0,,,,,0,634
0.2629725933074951,0.2629725933074951,0.0,1.0,,,,,0,639
0.16082079708576202,0.16082079708576202,0.0,1.0,,,,,0,644
0.24910415709018707,0.24910415709018707,0.0,1.0,,,,,0,649
0.2281654179096222,0.2281654179096222,0.0,1.0,,,,,0,654
0.18365058302879333,0.18365058302879333,0.0,1.0,,,,,0,659
0.1506083756685257,0.1506083756685257,0.0,1.0,,,,,0,664
0.16940253973007202,0.16940253973007202,0.0,1.0,,,,,0,669
0.18027931451797485,0.18027931451797485,0.0,1.0,,,,,0,674
