epoch,step,train/bit_balance_loss,train/bit_density,train/bits_per_token,train/exact_chunk_acc,train/loss,train/token_acc,train/token_ce,val/bit_balance_loss,val/bit_density,val/bits_per_token,val/exact_chunk_acc,val/loss,val/token_acc,val/token_ce
0,4,0.0726318359375,0.5029296875,4.0,0.0,10.802850723266602,0.0,10.8021240234375,,,,,,,
0,9,0.0831756591796875,0.527587890625,4.0,0.0,10.762611389160156,0.00390625,10.76177978515625,,,,,,,
0,14,0.07684326171875,0.53173828125,4.0,0.0,10.723058700561523,0.0146484375,10.7222900390625,,,,,,,
0,19,0.0766754150390625,0.564697265625,4.0,0.0,10.66324234008789,0.017578125,10.6624755859375,,,,,,,
0,24,0.0876617431640625,0.584228515625,4.0,0.0,10.513876914978027,0.0390625,10.51300048828125,,,,,,,
0,29,0.0841522216796875,0.575927734375,4.0,0.0,10.30711555480957,0.0361328125,10.3062744140625,,,,,,,
0,34,0.088226318359375,0.58056640625,4.0,0.0,9.959378242492676,0.025390625,9.95849609375,,,,,,,
0,39,0.10711669921875,0.58642578125,4.0,0.0,9.475558280944824,0.044921875,9.4744873046875,,,,,,,
0,44,0.0957794189453125,0.585205078125,4.0,0.0,9.025371551513672,0.04296875,9.0244140625,,,,,,,
0,49,0.1071014404296875,0.595458984375,4.0,0.0,8.2637357711792,0.037109375,8.262664794921875,,,,,,,
0,54,0.10888671875,0.58935546875,4.0,0.0,7.740056991577148,0.044921875,7.7389678955078125,,,,,,,
0,59,0.111663818359375,0.599609375,4.0,0.0,7.489687919616699,0.0419921875,7.4885711669921875,,,,,,,
0,64,0.107147216796875,0.60302734375,4.0,0.0,7.102527141571045,0.04296875,7.1014556884765625,,,,,,,
0,69,0.1153717041015625,0.617919921875,4.0,0.0,6.682062149047852,0.068359375,6.680908203125,,,,,,,
0,74,0.1085357666015625,0.608154296875,4.0,0.0,6.51603889465332,0.0703125,6.51495361328125,,,,,,,
0,79,0.1046142578125,0.59619140625,4.0,0.0,6.556511878967285,0.06640625,6.5554656982421875,,,,,,,
0,84,0.0994110107421875,0.588134765625,4.0,0.0,6.352236270904541,0.0732421875,6.3512420654296875,,,,,,,
0,89,0.0975341796875,0.58984375,4.0,0.0,6.271345615386963,0.064453125,6.2703704833984375,,,,,,,
0,94,0.0870208740234375,0.568603515625,4.0,0.0,6.304352283477783,0.0712890625,6.3034820556640625,,,,,,,
0,99,0.075286865234375,0.564453125,4.0,0.0,6.040914058685303,0.080078125,6.0401611328125,,,,,,,
0,99,,,,,,,,0.08034323155879974,0.5587759017944336,4.0,0.0,6.105991363525391,0.07006384432315826,6.10518741607666
0,104,0.0706939697265625,0.554443359375,4.0,0.0,6.20935583114624,0.06640625,6.208648681640625,,,,,,,
0,109,0.0664520263671875,0.553955078125,4.0,0.0,6.129158973693848,0.068359375,6.1284942626953125,,,,,,,
0,114,0.06158447265625,0.53955078125,4.0,0.0,6.127843856811523,0.0712890625,6.127227783203125,,,,,,,
0,119,0.05352783203125,0.552734375,4.0,0.0,6.02987813949585,0.07421875,6.0293426513671875,,,,,,,
0,124,0.0444488525390625,0.534912109375,4.0,0.0,6.10612678527832,0.076171875,6.105682373046875,,,,,,,
0,129,0.0442047119140625,0.536865234375,4.0,0.0,5.954299449920654,0.0712890625,5.953857421875,,,,,,,
0,134,0.0595550537109375,0.512451171875,4.0,0.0,6.250580310821533,0.064453125,6.2499847412109375,,,,,,,
0,139,0.0386962890625,0.505859375,4.0,0.0,6.028356552124023,0.0791015625,6.0279693603515625,,,,,,,
