dabe/train_base_loss,dabe/train_loss,dabe/train_mtp_loss,dabe/train_stable,dabe/train_token_acc,dabe/train_top10_acc,dabe/train_top5_acc,dabe/val_base_loss,dabe/val_loss,dabe/val_mtp_loss,dabe/val_stable,dabe/val_token_acc,dabe/val_top10_acc,dabe/val_top5_acc,epoch,step
6.2672576904296875,6.2672576904296875,0.0,1.0,,,,,,,,,,,0,4
3.9268646240234375,3.9268646240234375,0.0,1.0,,,,,,,,,,,0,9
3.0700035095214844,3.0700035095214844,0.0,1.0,,,,,,,,,,,0,14
1.9517097473144531,1.9517097473144531,0.0,1.0,,,,,,,,,,,0,19
1.0886125564575195,1.0886125564575195,0.0,1.0,,,,,,,,,,,0,24
0.5211679935455322,0.5211679935455322,0.0,1.0,,,,,,,,,,,0,29
0.368313193321228,0.368313193321228,0.0,1.0,,,,,,,,,,,0,34
0.23006150126457214,0.23006150126457214,0.0,1.0,,,,,,,,,,,0,39
0.17755034565925598,0.17755034565925598,0.0,1.0,,,,,,,,,,,0,44
0.1483098864555359,0.1483098864555359,0.0,1.0,,,,,,,,,,,0,49
0.12385503947734833,0.12385503947734833,0.0,1.0,,,,,,,,,,,0,54
0.1852661371231079,0.1852661371231079,0.0,1.0,,,,,,,,,,,0,59
0.06648383289575577,0.06648383289575577,0.0,1.0,,,,,,,,,,,0,64
0.05306873470544815,0.05306873470544815,0.0,1.0,,,,,,,,,,,0,69
0.06268278509378433,0.06268278509378433,0.0,1.0,,,,,,,,,,,0,74
0.0946328192949295,0.0946328192949295,0.0,1.0,,,,,,,,,,,0,79
0.07182130962610245,0.07182130962610245,0.0,1.0,,,,,,,,,,,0,84
0.09719029068946838,0.09719029068946838,0.0,1.0,,,,,,,,,,,0,89
0.13223108649253845,0.13223108649253845,0.0,1.0,,,,,,,,,,,0,94
0.06338710337877274,0.06338710337877274,0.0,1.0,,,,,,,,,,,0,99
0.07139862328767776,0.07139862328767776,0.0,1.0,,,,,,,,,,,0,104
0.08315141499042511,0.08315141499042511,0.0,1.0,,,,,,,,,,,0,109
0.04753687605261803,0.04753687605261803,0.0,1.0,,,,,,,,,,,0,114
0.0681111291050911,0.0681111291050911,0.0,1.0,,,,,,,,,,,0,119
0.11751985549926758,0.11751985549926758,0.0,1.0,,,,,,,,,,,0,124
0.11234935373067856,0.11234935373067856,0.0,1.0,,,,,,,,,,,0,129
0.10461807250976562,0.10461807250976562,0.0,1.0,,,,,,,,,,,0,134
0.007672162260860205,0.007672162260860205,0.0,1.0,,,,,,,,,,,0,139
0.024852555245161057,0.024852555245161057,0.0,1.0,,,,,,,,,,,0,144
0.10357090830802917,0.10357090830802917,0.0,1.0,,,,,,,,,,,0,149
0.05935700237751007,0.05935700237751007,0.0,1.0,,,,,,,,,,,0,154
0.0939483642578125,0.0939483642578125,0.0,1.0,,,,,,,,,,,0,159
0.10849563777446747,0.10849563777446747,0.0,1.0,,,,,,,,,,,0,164
0.09992662817239761,0.09992662817239761,0.0,1.0,,,,,,,,,,,0,169
0.04792071878910065,0.04792071878910065,0.0,1.0,,,,,,,,,,,0,174
0.05683157593011856,0.05683157593011856,0.0,1.0,,,,,,,,,,,0,179
0.1350894719362259,0.1350894719362259,0.0,1.0,,,,,,,,,,,0,184
0.07781966775655746,0.07781966775655746,0.0,1.0,,,,,,,,,,,0,189
0.03670819103717804,0.03670819103717804,0.0,1.0,,,,,,,,,,,0,194
0.05889525264501572,0.05889525264501572,0.0,1.0,,,,,,,,,,,0,199
0.07419988512992859,0.07419988512992859,0.0,1.0,,,,,,,,,,,0,204
0.06949329376220703,0.06949329376220703,0.0,1.0,,,,,,,,,,,0,209
0.043200694024562836,0.043200694024562836,0.0,1.0,,,,,,,,,,,0,214
0.047213707119226456,0.047213707119226456,0.0,1.0,,,,,,,,,,,0,219
0.014562638476490974,0.014562638476490974,0.0,1.0,,,,,,,,,,,0,224
0.04511366784572601,0.04511366784572601,0.0,1.0,,,,,,,,,,,0,229
0.029538769274950027,0.029538769274950027,0.0,1.0,,,,,,,,,,,0,234
0.04575277864933014,0.04575277864933014,0.0,1.0,,,,,,,,,,,0,239
0.04746956378221512,0.04746956378221512,0.0,1.0,,,,,,,,,,,0,244
0.06466435641050339,0.06466435641050339,0.0,1.0,,,,,,,,,,,0,249
0.04107394441962242,0.04107394441962242,0.0,1.0,,,,,,,,,,,0,254
0.06633079797029495,0.06633079797029495,0.0,1.0,,,,,,,,,,,0,259
0.014724001288414001,0.014724001288414001,0.0,1.0,,,,,,,,,,,0,264
0.12537223100662231,0.12537223100662231,0.0,1.0,,,,,,,,,,,0,269
0.03574814274907112,0.03574814274907112,0.0,1.0,,,,,,,,,,,0,274
0.03629641979932785,0.03629641979932785,0.0,1.0,,,,,,,,,,,0,279
0.028943438082933426,0.028943438082933426,0.0,1.0,,,,,,,,,,,0,284
0.03794637322425842,0.03794637322425842,0.0,1.0,,,,,,,,,,,0,289
0.030741365626454353,0.030741365626454353,0.0,1.0,,,,,,,,,,,0,294
0.025274500250816345,0.025274500250816345,0.0,1.0,,,,,,,,,,,0,299
0.047849297523498535,0.047849297523498535,0.0,1.0,,,,,,,,,,,0,304
0.09975355863571167,0.09975355863571167,0.0,1.0,,,,,,,,,,,0,309
0.02441593073308468,0.02441593073308468,0.0,1.0,,,,,,,,,,,0,314
0.013231960125267506,0.013231960125267506,0.0,1.0,,,,,,,,,,,0,319
0.08659040927886963,0.08659040927886963,0.0,1.0,,,,,,,,,,,0,324
0.01882971078157425,0.01882971078157425,0.0,1.0,,,,,,,,,,,0,329
0.02959553152322769,0.02959553152322769,0.0,1.0,,,,,,,,,,,0,334
0.017025377601385117,0.017025377601385117,0.0,1.0,,,,,,,,,,,0,339
0.04176852107048035,0.04176852107048035,0.0,1.0,,,,,,,,,,,0,344
0.05547080934047699,0.05547080934047699,0.0,1.0,,,,,,,,,,,0,349
0.026271862909197807,0.026271862909197807,0.0,1.0,,,,,,,,,,,0,354
0.02609446831047535,0.02609446831047535,0.0,1.0,,,,,,,,,,,0,359
0.03335397318005562,0.03335397318005562,0.0,1.0,,,,,,,,,,,0,364
0.028211459517478943,0.028211459517478943,0.0,1.0,,,,,,,,,,,0,369
0.07077310979366302,0.07077310979366302,0.0,1.0,,,,,,,,,,,0,374
0.030229050666093826,0.030229050666093826,0.0,1.0,,,,,,,,,,,0,379
0.04179389774799347,0.04179389774799347,0.0,1.0,,,,,,,,,,,0,384
0.02292577549815178,0.02292577549815178,0.0,1.0,,,,,,,,,,,0,389
0.029020344838500023,0.029020344838500023,0.0,1.0,,,,,,,,,,,0,394
0.026810817420482635,0.026810817420482635,0.0,1.0,,,,,,,,,,,0,399
0.08394154906272888,0.08394154906272888,0.0,1.0,,,,,,,,,,,0,404
0.032420605421066284,0.032420605421066284,0.0,1.0,,,,,,,,,,,0,409
0.017342351377010345,0.017342351377010345,0.0,1.0,,,,,,,,,,,0,414
0.015825120732188225,0.015825120732188225,0.0,1.0,,,,,,,,,,,0,419
0.03178856894373894,0.03178856894373894,0.0,1.0,,,,,,,,,,,0,424
0.04509548097848892,0.04509548097848892,0.0,1.0,,,,,,,,,,,0,429
0.013540737330913544,0.013540737330913544,0.0,1.0,,,,,,,,,,,0,434
,,,,,,,0.02595989964902401,0.02595989964902401,0.0,1.0,0.9896426796913147,1.0,1.0,0,438
,,,,0.9319460391998291,0.9800314903259277,0.9746422171592712,,,,,,,,0,438
