bpe/train_base_loss,bpe/train_loss,bpe/train_mtp_loss,bpe/train_stable,bpe/train_token_acc,bpe/train_top10_acc,bpe/train_top5_acc,bpe/val_base_loss,bpe/val_loss,bpe/val_mtp_loss,bpe/val_stable,bpe/val_token_acc,bpe/val_top10_acc,bpe/val_top5_acc,epoch,step
80.94587707519531,80.94587707519531,0.0,1.0,,,,,,,,,,,0,4
37.50748062133789,37.50748062133789,0.0,1.0,,,,,,,,,,,0,9
31.9899959564209,31.9899959564209,0.0,1.0,,,,,,,,,,,0,14
24.448749542236328,24.448749542236328,0.0,1.0,,,,,,,,,,,0,19
18.05611801147461,18.05611801147461,0.0,1.0,,,,,,,,,,,0,24
18.341259002685547,18.341259002685547,0.0,1.0,,,,,,,,,,,0,29
15.449895858764648,15.449895858764648,0.0,1.0,,,,,,,,,,,0,34
13.399640083312988,13.399640083312988,0.0,1.0,,,,,,,,,,,0,39
11.09097671508789,11.09097671508789,0.0,1.0,,,,,,,,,,,0,44
8.705615997314453,8.705615997314453,0.0,1.0,,,,,,,,,,,0,49
8.043538093566895,8.043538093566895,0.0,1.0,,,,,,,,,,,0,54
5.526224136352539,5.526224136352539,0.0,1.0,,,,,,,,,,,0,59
3.686408758163452,3.686408758163452,0.0,1.0,,,,,,,,,,,0,64
1.7814667224884033,1.7814667224884033,0.0,1.0,,,,,,,,,,,0,69
1.3378701210021973,1.3378701210021973,0.0,1.0,,,,,,,,,,,0,74
1.2293109893798828,1.2293109893798828,0.0,1.0,,,,,,,,,,,0,79
1.2666144371032715,1.2666144371032715,0.0,1.0,,,,,,,,,,,0,84
0.8275543451309204,0.8275543451309204,0.0,1.0,,,,,,,,,,,0,89
0.9781962633132935,0.9781962633132935,0.0,1.0,,,,,,,,,,,0,94
1.097783088684082,1.097783088684082,0.0,1.0,,,,,,,,,,,0,99
0.7933093309402466,0.7933093309402466,0.0,1.0,,,,,,,,,,,0,104
0.8197396993637085,0.8197396993637085,0.0,1.0,,,,,,,,,,,0,109
0.8341959714889526,0.8341959714889526,0.0,1.0,,,,,,,,,,,0,114
0.81611168384552,0.81611168384552,0.0,1.0,,,,,,,,,,,0,119
0.6461562514305115,0.6461562514305115,0.0,1.0,,,,,,,,,,,0,124
0.7655997276306152,0.7655997276306152,0.0,1.0,,,,,,,,,,,0,129
0.9334734082221985,0.9334734082221985,0.0,1.0,,,,,,,,,,,0,134
0.7115789651870728,0.7115789651870728,0.0,1.0,,,,,,,,,,,0,139
0.5318776965141296,0.5318776965141296,0.0,1.0,,,,,,,,,,,0,144
0.486734539270401,0.486734539270401,0.0,1.0,,,,,,,,,,,0,149
0.5681917071342468,0.5681917071342468,0.0,1.0,,,,,,,,,,,0,154
0.6238358616828918,0.6238358616828918,0.0,1.0,,,,,,,,,,,0,159
0.5178303718566895,0.5178303718566895,0.0,1.0,,,,,,,,,,,0,164
0.4173363447189331,0.4173363447189331,0.0,1.0,,,,,,,,,,,0,169
0.5698547959327698,0.5698547959327698,0.0,1.0,,,,,,,,,,,0,174
0.5532222986221313,0.5532222986221313,0.0,1.0,,,,,,,,,,,0,179
0.5973647832870483,0.5973647832870483,0.0,1.0,,,,,,,,,,,0,184
0.43141359090805054,0.43141359090805054,0.0,1.0,,,,,,,,,,,0,189
0.4043312072753906,0.4043312072753906,0.0,1.0,,,,,,,,,,,0,194
0.5861343741416931,0.5861343741416931,0.0,1.0,,,,,,,,,,,0,199
0.46351468563079834,0.46351468563079834,0.0,1.0,,,,,,,,,,,0,204
0.5092072486877441,0.5092072486877441,0.0,1.0,,,,,,,,,,,0,209
0.45899099111557007,0.45899099111557007,0.0,1.0,,,,,,,,,,,0,214
0.3692234754562378,0.3692234754562378,0.0,1.0,,,,,,,,,,,0,219
0.3908754587173462,0.3908754587173462,0.0,1.0,,,,,,,,,,,0,224
0.49540263414382935,0.49540263414382935,0.0,1.0,,,,,,,,,,,0,229
0.5419008731842041,0.5419008731842041,0.0,1.0,,,,,,,,,,,0,234
0.34441834688186646,0.34441834688186646,0.0,1.0,,,,,,,,,,,0,239
0.33003032207489014,0.33003032207489014,0.0,1.0,,,,,,,,,,,0,244
0.3547797203063965,0.3547797203063965,0.0,1.0,,,,,,,,,,,0,249
0.46756213903427124,0.46756213903427124,0.0,1.0,,,,,,,,,,,0,254
0.3151778280735016,0.3151778280735016,0.0,1.0,,,,,,,,,,,0,259
0.6328849196434021,0.6328849196434021,0.0,1.0,,,,,,,,,,,0,264
0.5946701765060425,0.5946701765060425,0.0,1.0,,,,,,,,,,,0,269
0.4657791256904602,0.4657791256904602,0.0,1.0,,,,,,,,,,,0,274
0.4582681655883789,0.4582681655883789,0.0,1.0,,,,,,,,,,,0,279
0.4922027587890625,0.4922027587890625,0.0,1.0,,,,,,,,,,,0,284
0.5017008185386658,0.5017008185386658,0.0,1.0,,,,,,,,,,,0,289
0.5102518200874329,0.5102518200874329,0.0,1.0,,,,,,,,,,,0,294
0.3925713896751404,0.3925713896751404,0.0,1.0,,,,,,,,,,,0,299
0.37318336963653564,0.37318336963653564,0.0,1.0,,,,,,,,,,,0,304
0.3059714734554291,0.3059714734554291,0.0,1.0,,,,,,,,,,,0,309
0.35166823863983154,0.35166823863983154,0.0,1.0,,,,,,,,,,,0,314
0.3473438024520874,0.3473438024520874,0.0,1.0,,,,,,,,,,,0,319
0.21160510182380676,0.21160510182380676,0.0,1.0,,,,,,,,,,,0,324
0.4376031458377838,0.4376031458377838,0.0,1.0,,,,,,,,,,,0,329
0.33906295895576477,0.33906295895576477,0.0,1.0,,,,,,,,,,,0,334
0.8157675266265869,0.8157675266265869,0.0,1.0,,,,,,,,,,,0,339
0.3096608519554138,0.3096608519554138,0.0,1.0,,,,,,,,,,,0,344
0.213755801320076,0.213755801320076,0.0,1.0,,,,,,,,,,,0,349
0.44184496998786926,0.44184496998786926,0.0,1.0,,,,,,,,,,,0,354
0.3272089958190918,0.3272089958190918,0.0,1.0,,,,,,,,,,,0,359
0.19385790824890137,0.19385790824890137,0.0,1.0,,,,,,,,,,,0,364
0.26216521859169006,0.26216521859169006,0.0,1.0,,,,,,,,,,,0,369
0.286446213722229,0.286446213722229,0.0,1.0,,,,,,,,,,,0,374
0.35860344767570496,0.35860344767570496,0.0,1.0,,,,,,,,,,,0,379
0.17205487191677094,0.17205487191677094,0.0,1.0,,,,,,,,,,,0,384
0.37378814816474915,0.37378814816474915,0.0,1.0,,,,,,,,,,,0,389
0.2747651934623718,0.2747651934623718,0.0,1.0,,,,,,,,,,,0,394
0.3437192440032959,0.3437192440032959,0.0,1.0,,,,,,,,,,,0,399
0.2034347802400589,0.2034347802400589,0.0,1.0,,,,,,,,,,,0,404
0.2056940197944641,0.2056940197944641,0.0,1.0,,,,,,,,,,,0,409
0.19783374667167664,0.19783374667167664,0.0,1.0,,,,,,,,,,,0,414
0.336767315864563,0.336767315864563,0.0,1.0,,,,,,,,,,,0,419
0.6417694091796875,0.6417694091796875,0.0,1.0,,,,,,,,,,,0,424
0.33756813406944275,0.33756813406944275,0.0,1.0,,,,,,,,,,,0,429
0.3730226159095764,0.3730226159095764,0.0,1.0,,,,,,,,,,,0,434
0.3707755208015442,0.3707755208015442,0.0,1.0,,,,,,,,,,,0,439
0.2088296115398407,0.2088296115398407,0.0,1.0,,,,,,,,,,,0,444
0.3405005931854248,0.3405005931854248,0.0,1.0,,,,,,,,,,,0,449
0.2437971532344818,0.2437971532344818,0.0,1.0,,,,,,,,,,,0,454
0.2863677144050598,0.2863677144050598,0.0,1.0,,,,,,,,,,,0,459
0.3458736538887024,0.3458736538887024,0.0,1.0,,,,,,,,,,,0,464
0.39565297961235046,0.39565297961235046,0.0,1.0,,,,,,,,,,,0,469
0.2930469512939453,0.2930469512939453,0.0,1.0,,,,,,,,,,,0,474
0.2812884449958801,0.2812884449958801,0.0,1.0,,,,,,,,,,,0,479
0.21293386816978455,0.21293386816978455,0.0,1.0,,,,,,,,,,,0,484
0.17123721539974213,0.17123721539974213,0.0,1.0,,,,,,,,,,,0,489
0.24027003347873688,0.24027003347873688,0.0,1.0,,,,,,,,,,,0,494
0.44352132081985474,0.44352132081985474,0.0,1.0,,,,,,,,,,,0,499
0.28847119212150574,0.28847119212150574,0.0,1.0,,,,,,,,,,,0,504
0.23873597383499146,0.23873597383499146,0.0,1.0,,,,,,,,,,,0,509
0.16914181411266327,0.16914181411266327,0.0,1.0,,,,,,,,,,,0,514
0.14074274897575378,0.14074274897575378,0.0,1.0,,,,,,,,,,,0,519
0.30513429641723633,0.30513429641723633,0.0,1.0,,,,,,,,,,,0,524
0.28125399351119995,0.28125399351119995,0.0,1.0,,,,,,,,,,,0,529
0.4384399652481079,0.4384399652481079,0.0,1.0,,,,,,,,,,,0,534
0.3626054525375366,0.3626054525375366,0.0,1.0,,,,,,,,,,,0,539
0.1805925965309143,0.1805925965309143,0.0,1.0,,,,,,,,,,,0,544
0.2661644518375397,0.2661644518375397,0.0,1.0,,,,,,,,,,,0,549
0.1765514612197876,0.1765514612197876,0.0,1.0,,,,,,,,,,,0,554
0.15499137341976166,0.15499137341976166,0.0,1.0,,,,,,,,,,,0,559
0.2508036494255066,0.2508036494255066,0.0,1.0,,,,,,,,,,,0,564
0.2623642385005951,0.2623642385005951,0.0,1.0,,,,,,,,,,,0,569
0.15256409347057343,0.15256409347057343,0.0,1.0,,,,,,,,,,,0,574
0.21143752336502075,0.21143752336502075,0.0,1.0,,,,,,,,,,,0,579
0.08673566579818726,0.08673566579818726,0.0,1.0,,,,,,,,,,,0,584
0.2582785487174988,0.2582785487174988,0.0,1.0,,,,,,,,,,,0,589
0.20699208974838257,0.20699208974838257,0.0,1.0,,,,,,,,,,,0,594
0.20760619640350342,0.20760619640350342,0.0,1.0,,,,,,,,,,,0,599
0.10909644514322281,0.10909644514322281,0.0,1.0,,,,,,,,,,,0,604
0.44827085733413696,0.44827085733413696,0.0,1.0,,,,,,,,,,,0,609
0.23903974890708923,0.23903974890708923,0.0,1.0,,,,,,,,,,,0,614
0.19828364253044128,0.19828364253044128,0.0,1.0,,,,,,,,,,,0,619
0.1885940134525299,0.1885940134525299,0.0,1.0,,,,,,,,,,,0,624
0.24393399059772491,0.24393399059772491,0.0,1.0,,,,,,,,,,,0,629
0.21999019384384155,0.21999019384384155,0.0,1.0,,,,,,,,,,,0,634
0.2181435525417328,0.2181435525417328,0.0,1.0,,,,,,,,,,,0,639
0.15232688188552856,0.15232688188552856,0.0,1.0,,,,,,,,,,,0,644
0.23144996166229248,0.23144996166229248,0.0,1.0,,,,,,,,,,,0,649
0.27935317158699036,0.27935317158699036,0.0,1.0,,,,,,,,,,,0,654
0.2799243927001953,0.2799243927001953,0.0,1.0,,,,,,,,,,,0,659
0.19059067964553833,0.19059067964553833,0.0,1.0,,,,,,,,,,,0,664
0.22065839171409607,0.22065839171409607,0.0,1.0,,,,,,,,,,,0,669
