epoch,step,sys/eta_seconds,sys/steps_per_sec_live,train/diffusion_loss,train/diffusion_noise_loss,train/diffusion_recon_loss,train/loss,train/mae,train/route_balance_loss,train/route_entropy,train/route_usage_coarse,train/route_usage_fine,train/route_usage_mid,train/scalar_loss,train/stable,val/diffusion_loss,val/diffusion_noise_loss,val/diffusion_recon_loss,val/gist_cosine,val/gist_retrieval_top1,val/loss,val/mae,val/route_balance_loss,val/route_entropy,val/route_usage_coarse,val/route_usage_fine,val/route_usage_mid,val/scalar_loss,val/stable
0,19,,,1.1940608024597168,0.9946022033691406,0.9972929954528809,0.33466285467147827,0.2608036994934082,0.0575401708483696,0.44850584864616394,0.8801892995834351,0.052296124398708344,0.06751454621553421,0.03499683737754822,1.0,,,,,,,,,,,,,,
0,39,,,1.1097311973571777,0.9395632743835449,0.8508397340774536,0.27898457646369934,0.0320587158203125,0.03544726222753525,0.5968904495239258,0.8126607537269592,0.05645701661705971,0.13088220357894897,0.0008428366854786873,1.0,,,,,,,,,,,,,,
0,59,,,0.9763692021369934,0.8494076728820801,0.6348075866699219,0.24496454000473022,0.03018951416015625,0.006081407889723778,0.9156296253204346,0.5080657005310059,0.08263112604618073,0.40930312871932983,0.0007506106048822403,1.0,,,,,,,,,,,,,,
0,79,,,0.8714821338653564,0.7594315409660339,0.560252845287323,0.21853969991207123,0.0288238525390625,0.0009557277662679553,0.9212799072265625,0.5915881395339966,0.11752638220787048,0.29088547825813293,0.0006500459276139736,1.0,,,,,,,,,,,,,,
0,99,,,0.7867112755775452,0.6849783062934875,0.5086649060249329,0.19731095433235168,0.02786731719970703,1.949677425727714e-05,0.9726492166519165,0.548054575920105,0.14583396911621094,0.3061114549636841,0.000632748706266284,1.0,,,,,,,,,,,,,,
0,119,,,0.7291414141654968,0.6392897367477417,0.4492585062980652,0.182835191488266,0.027036666870117188,9.538260201225057e-06,0.9763668775558472,0.5506649017333984,0.15340597927570343,0.2959291338920593,0.00054964330047369,1.0,,,,,,,,,,,,,,
0,139,,,0.6877745985984802,0.6039532423019409,0.419106662273407,0.17253054678440094,0.02613544464111328,1.8225185272058297e-07,0.974867045879364,0.5499317049980164,0.1505536437034607,0.29951465129852295,0.0005868885200470686,1.0,,,,,,,,,,,,,,
0,159,,,0.6614052057266235,0.5798296332359314,0.4078778326511383,0.16589659452438354,0.02608013153076172,9.995055734179914e-07,0.9731786251068115,0.5514070987701416,0.1494159996509552,0.2991768717765808,0.0005452658515423536,1.0,,,,,,,,,,,,,,
0,179,,,0.622791588306427,0.5500195026397705,0.3638603687286377,0.15631091594696045,0.02639484405517578,7.415855485248812e-09,0.9745428562164307,0.5499222874641418,0.15012004971504211,0.29995763301849365,0.0006130186375230551,1.0,,,,,,,,,,,,,,
,200,1420.8312301255212,21.338213404361618,,,,,,,,,,,,,,,,,,,,,,,,,,
0,199,,,0.5795810222625732,0.5096827149391174,0.34949159622192383,0.1453639417886734,0.0239715576171875,1.8782973398856484e-08,0.9746435880661011,0.5498487949371338,0.1501806080341339,0.2999705970287323,0.0004686829634010792,1.0,,,,,,,,,,,,,,
0,219,,,0.5566898584365845,0.48762091994285583,0.3453448414802551,0.1397436112165451,0.027067184448242188,6.659750795279251e-08,0.9739435911178589,0.550322413444519,0.1496906876564026,0.29998689889907837,0.0005711442790925503,1.0,,,,,,,,,,,,,,
0,239,,,0.5308105945587158,0.4689602255821228,0.3092517852783203,0.1331278681755066,0.022481918334960938,2.5594249564164784e-06,0.9725350141525269,0.5522167682647705,0.1492835283279419,0.2984997034072876,0.00042517203837633133,1.0,,,,,,,,,,,,,,
0,259,,,0.5170779228210449,0.45856451988220215,0.29256701469421387,0.12973323464393616,0.02303028106689453,1.9638741832750384e-07,0.9736501574516296,0.5505783557891846,0.1495017409324646,0.2999199330806732,0.00046375510282814503,1.0,,,,,,,,,,,,,,
0,279,,,0.47961750626564026,0.4216248393058777,0.2899633049964905,0.1202966719865799,0.021782875061035156,1.222008677359554e-06,0.9735287427902222,0.5513619184494019,0.14998376369476318,0.2986542880535126,0.0003922723699361086,1.0,,,,,,,,,,,,,,
0,299,,,0.487410306930542,0.4350987374782562,0.26155778765678406,0.12220731377601624,0.02104949951171875,6.881186891405378e-07,0.973075270652771,0.5511327981948853,0.14916948974132538,0.2996976971626282,0.00035472679883241653,1.0,,,,,,,,,,,,,,
0,319,,,0.44541096687316895,0.3955584466457367,0.24926254153251648,0.11185891926288605,0.026422500610351562,2.393210536411061e-07,0.973597526550293,0.5506833791732788,0.1495649218559265,0.2997516691684723,0.000506172887980938,1.0,,,,,,,,,,,,,,
0,339,,,0.4199989438056946,0.3725854456424713,0.2370675504207611,0.10543669760227203,0.024234771728515625,4.688148237619316e-06,0.9717774391174316,0.5530070066452026,0.1489972174167633,0.29799580574035645,0.0004368666559457779,1.0,,,,,,,,,,,,,,
0,359,,,0.3988175392150879,0.351638525724411,0.235895037651062,0.10014346987009048,0.024079322814941406,3.3955254252759914e-07,0.9740542769432068,0.5496718287467957,0.149509459733963,0.3008187413215637,0.00043908110819756985,1.0,,,,,,,,,,,,,,
0,379,,,0.3817700445652008,0.3377748727798462,0.21997590363025665,0.09579747915267944,0.021350860595703125,7.45069428376155e-07,0.972893238067627,0.5511941909790039,0.1491837501525879,0.2996220290660858,0.00035494985058903694,1.0,,,,,,,,,,,,,,
,400,1332.4551321914796,22.603387740692728,,,,,,,,,,,,,,,,,,,,,,,,,,
0,399,,,0.36784306168556213,0.32424020767211914,0.2180142104625702,0.0923098623752594,0.020295143127441406,1.2693877806668752e-06,0.975132942199707,0.5485564470291138,0.15013772249221802,0.301305890083313,0.00034907390363514423,1.0,,,,,,,,,,,,,,
0,419,,,0.3552113175392151,0.3148854970932007,0.20162908732891083,0.08912497013807297,0.018741607666015625,4.6146496401888726e-07,0.9732433557510376,0.5509604811668396,0.1495370715856552,0.299502432346344,0.0003221309743821621,1.0,,,,,,,,,,,,,,
0,439,,,0.35878080129623413,0.3198752999305725,0.1945274919271469,0.09015697240829468,0.022612571716308594,5.656724511027278e-07,0.973240077495575,0.5510165691375732,0.14976269006729126,0.2992207109928131,0.00046176393516361713,1.0,,,,,,,,,,,,,,
1,459,,,0.3158978819847107,0.27894172072410583,0.1847807615995407,0.07954474538564682,0.029144287109375,1.1339274124111398e-06,0.9745670557022095,0.5488351583480835,0.1497558057308197,0.3014090061187744,0.0005702548660337925,1.0,,,,,,,,,,,,,,
1,479,,,0.31334707140922546,0.27805858850479126,0.1764424443244934,0.07893745601177216,0.029654502868652344,6.147862222860567e-06,0.9758815765380859,0.5469809770584106,0.14996489882469177,0.30305415391921997,0.0006005645263940096,1.0,,,,,,,,,,,,,,
1,499,,,0.3043125569820404,0.26968061923980713,0.17315968871116638,0.07653162628412247,0.02537250518798828,2.53643037240181e-07,0.9733863472938538,0.5506841540336609,0.14982947707176208,0.2994863986968994,0.00045347982086241245,1.0,,,,,,,,,,,,,,
1,519,,,0.2832471430301666,0.24958890676498413,0.16829116642475128,0.07115653902292252,0.021170616149902344,6.532862073527212e-08,0.9739051461219788,0.5502223372459412,0.15013566613197327,0.29964202642440796,0.00034474884159862995,1.0,,,,,,,,,,,,,,
1,539,,,0.2855248749256134,0.25400078296661377,0.15762044489383698,0.07175063341856003,0.020832061767578125,1.7199777158083407e-09,0.9738131761550903,0.5500586628913879,0.14997079968452454,0.2999705672264099,0.0003694114275276661,1.0,,,,,,,,,,,,,,
1,559,,,0.2829419672489166,0.2522154450416565,0.15363264083862305,0.07110750675201416,0.02093505859375,1.6589050346738077e-06,0.9746612310409546,0.5484507083892822,0.14994511008262634,0.30160418152809143,0.00037197815254330635,1.0,,,,,,,,,,,,,,
1,579,,,0.2679367959499359,0.23909182846546173,0.14422482252120972,0.06731021404266357,0.020720481872558594,1.7157603338091576e-07,0.9738163948059082,0.5497860312461853,0.1496347337961197,0.3005792498588562,0.0003260087687522173,1.0,,,,,,,,,,,,,,
,600,1276.5878315069833,23.4359119377493,,,,,,,,,,,,,,,,,,,,,,,,,,
1,599,,,0.263043612241745,0.23425361514091492,0.1439499855041504,0.06608814746141434,0.020043373107910156,1.5809299611646566e-06,0.9727096557617188,0.5516356229782104,0.14978626370429993,0.29857808351516724,0.00032720924355089664,1.0,,,,,,,,,,,,,,
1,619,,,0.257239431142807,0.23013828694820404,0.13550573587417603,0.06462329626083374,0.018975257873535156,4.6966924571734125e-08,0.9734234809875488,0.5501008629798889,0.1496989130973816,0.3002001941204071,0.0003134345170110464,1.0,,,,,,,,,,,,,,
1,639,,,0.24150583148002625,0.2153944969177246,0.13055665791034698,0.060674089938402176,0.0193634033203125,4.552522909762047e-07,0.9730871915817261,0.5509228110313416,0.1497487723827362,0.29932838678359985,0.0002976246178150177,1.0,,,,,,,,,,,,,,
1,659,,,0.22961647808551788,0.20426976680755615,0.12673352658748627,0.05777132138609886,0.022414207458496094,3.403917389732669e-06,0.9719273447990417,0.5524512529373169,0.14954861998558044,0.29800015687942505,0.0003671350423246622,1.0,,,,,,,,,,,,,,
1,679,,,0.2396988570690155,0.21517641842365265,0.12261222302913666,0.06057881563901901,0.03148651123046875,5.422337380878162e-06,0.9715479016304016,0.553033709526062,0.14959266781806946,0.2973736524581909,0.0006539933383464813,1.0,,,,,,,,,,,,,,
1,699,,,0.2563762068748474,0.23321154713630676,0.11582323908805847,0.06434180587530136,0.0177154541015625,1.0766521882032976e-05,0.9703661203384399,0.5544471740722656,0.14892396330833435,0.2966288924217224,0.0002475390210747719,1.0,,,,,,,,,,,,,,
1,719,,,0.22857588529586792,0.20512770116329193,0.11724090576171875,0.057536426931619644,0.02121257781982422,4.4228590923012234e-06,0.9718037843704224,0.5526812076568604,0.14977416396141052,0.2975446581840515,0.000392368296161294,1.0,,,,,,,,,,,,,,
1,739,,,0.23846964538097382,0.21663671731948853,0.10916467010974884,0.05992508307099342,0.018743515014648438,1.84584258988707e-08,0.9734139442443848,0.5500394105911255,0.14981740713119507,0.30014312267303467,0.00030767079442739487,1.0,,,,,,,,,,,,,,
1,759,,,0.22171352803707123,0.19985376298427582,0.10929879546165466,0.0557139627635479,0.018527984619140625,3.3210835681529716e-06,0.9717551469802856,0.5524654984474182,0.14941734075546265,0.29811716079711914,0.0002855127677321434,1.0,,,,,,,,,,,,,,
1,779,,,0.21649815142154694,0.19571518898010254,0.1039147824048996,0.054430555552244186,0.020090103149414062,6.64005710859783e-07,0.9744699001312256,0.5488712787628174,0.15036317706108093,0.3007655739784241,0.00030600372701883316,1.0,,,,,,,,,,,,,,
,800,1238.942993323815,23.986575782855883,,,,,,,,,,,,,,,,,,,,,,,,,,
1,799,,,0.22734661400318146,0.20720326900482178,0.10071669518947601,0.057192254811525345,0.019829750061035156,7.713979357504286e-07,0.97376948595047,0.5491363406181335,0.14965873956680298,0.3012049198150635,0.00035558477975428104,1.0,,,,,,,,,,,,,,
1,819,,,0.21305423974990845,0.19403210282325745,0.0951106995344162,0.053587570786476135,0.01974964141845703,1.1267948138993233e-06,0.9744904041290283,0.5485806465148926,0.15028631687164307,0.30113306641578674,0.00032398966141045094,1.0,,,,,,,,,,,,,,
1,839,,,0.19971837103366852,0.18070441484451294,0.09506979584693909,0.05024927854537964,0.020041465759277344,1.703398424979241e-06,0.9745447039604187,0.5482999086380005,0.15022769570350647,0.30147242546081543,0.00031965202651917934,1.0,,,,,,,,,,,,,,
1,859,,,0.19295935332775116,0.17482201755046844,0.09068664908409119,0.04862796515226364,0.020721435546875,1.9127116956951795e-06,0.9721183776855469,0.5518455505371094,0.1496380716562271,0.2985163927078247,0.0003880895674228668,1.0,,,,,,,,,,,,,,
1,879,,,0.19100500643253326,0.17340651154518127,0.08799247443675995,0.048094820231199265,0.021890640258789062,1.5225125480355928e-06,0.9750826358795166,0.5482592582702637,0.15076488256454468,0.30097585916519165,0.00034353649243712425,1.0,,,,,,,,,,,,,,
1,899,,,0.1971152424812317,0.17983806133270264,0.08638591319322586,0.049860283732414246,0.02960681915283203,1.7319711105301394e-06,0.9741312265396118,0.5484609007835388,0.14986327290534973,0.30167582631111145,0.0005814374890178442,1.0,,,,,,,,,,,,,,
2,919,,,0.20418250560760498,0.18802720308303833,0.08077649027109146,0.051327306777238846,0.01896381378173828,4.048137896006665e-07,0.9727277755737305,0.5508828163146973,0.14970919489860535,0.299407958984375,0.00028167269192636013,1.0,,,,,,,,,,,,,,
2,939,,,0.18643811345100403,0.17009927332401276,0.08169418573379517,0.046998441219329834,0.02324962615966797,4.260829882696271e-06,0.9752453565597534,0.5472815036773682,0.1504380851984024,0.3022804260253906,0.0003888269420713186,1.0,,,,,,,,,,,,,,
2,959,,,0.18306399881839752,0.16731740534305573,0.07873298227787018,0.04609301686286926,0.018874168395996094,3.182457930961391e-06,0.9750261902809143,0.5476264953613281,0.1504461169242859,0.301927387714386,0.0003269549924880266,1.0,,,,,,,,,,,,,,
2,979,,,0.1764034926891327,0.16108521819114685,0.076591357588768,0.04445011913776398,0.019710540771484375,3.1164931897365022e-06,0.9746888875961304,0.5477038621902466,0.15029925107955933,0.3019969165325165,0.0003491826355457306,1.0,,,,,,,,,,,,,,
,1000,1205.4262908332041,24.487602621971043,,,,,,,,,,,,,,,,,,,,,,,,,,
2,999,,,0.19552259147167206,0.1804381012916565,0.07542246580123901,0.0491902120411396,0.018584251403808594,4.5111678446119186e-06,0.9754661321640015,0.5471472144126892,0.15061219036579132,0.30224061012268066,0.0003094740677624941,1.0,,,,,,,,,,,,,,
2,999,,,,,,,,,,,,,,,0.18613100051879883,0.17130209505558014,0.07414452731609344,0.9192626476287842,0.010163204744458199,0.04687602072954178,0.021927764639258385,1.2901443369628396e-05,0.9749616384506226,0.5478230118751526,0.15049618482589722,0.30168086290359497,0.0003430170763749629,1.0
2,1019,,,0.17954951524734497,0.16494587063789368,0.07301822304725647,0.045200247317552567,0.01886272430419922,2.729192942751979e-07,0.9726547002792358,0.5507174134254456,0.14979416131973267,0.2994884252548218,0.0003128636162728071,1.0,,,,,,,,,,,,,,
2,1039,,,0.19015535712242126,0.17571938037872314,0.0721798837184906,0.04784020036458969,0.01823139190673828,2.930699338321574e-06,0.9715542793273926,0.5522565841674805,0.14963126182556152,0.298112154006958,0.00030130124650895596,1.0,,,,,,,,,,,,,,
2,1059,,,0.19084599614143372,0.17715613543987274,0.06844931840896606,0.04796093702316284,0.01689434051513672,1.0696322533476632e-05,0.9701841473579407,0.5543145537376404,0.14928598701953888,0.29639947414398193,0.0002492230851203203,1.0,,,,,,,,,,,,,,
2,1079,,,0.17767463624477386,0.16461661458015442,0.06529013067483902,0.04477306455373764,0.021697998046875,2.61402277601519e-07,0.9732217192649841,0.5503242611885071,0.15039756894111633,0.299278199672699,0.0003544008359313011,1.0,,,,,,,,,,,,,,
2,1099,,,0.17551441490650177,0.16252443194389343,0.06494993716478348,0.044163547456264496,0.01958179473876953,6.716192729072645e-06,0.975204586982727,0.5467207431793213,0.15022213757038116,0.30305707454681396,0.0002848103176802397,1.0,,,,,,,,,,,,,,
2,1119,,,0.16333122551441193,0.1505928337574005,0.06369198858737946,0.04114356264472008,0.020566940307617188,2.7095001087218407e-07,0.9735504388809204,0.5493197441101074,0.15009644627571106,0.30058377981185913,0.00031075067818164825,1.0,,,,,,,,,,,,,,
2,1139,,,0.1682683825492859,0.155867338180542,0.062005214393138885,0.04248839616775513,0.021337509155273438,1.0904774399023154e-06,0.9741668701171875,0.5485252737998962,0.15066972374916077,0.3008050322532654,0.00042128004133701324,1.0,,,,,,,,,,,,,,
2,1159,,,0.1792723536491394,0.1673596352338791,0.05956362932920456,0.04523620754480362,0.024967193603515625,6.32304704595299e-07,0.9740888476371765,0.5489649772644043,0.15013664960861206,0.30089831352233887,0.000418106559664011,1.0,,,,,,,,,,,,,,
2,1179,,,0.15939393639564514,0.1472960263490677,0.06048958748579025,0.040200695395469666,0.021467208862304688,1.6582565649514436e-06,0.9716188311576843,0.551723062992096,0.1496489942073822,0.29862791299819946,0.0003521791659295559,1.0,,,,,,,,,,,,,,
,1200,1265.3828661776618,23.16927214967024,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1199,,,0.15622885525226593,0.1445387452840805,0.05845053493976593,0.03935661539435387,0.019832611083984375,6.671459686913295e-07,0.9729540348052979,0.5507491827011108,0.15038679540157318,0.2988639771938324,0.0002993880771100521,1.0,,,,,,,,,,,,,,
2,1219,,,0.17660386860370636,0.16556386649608612,0.05520002916455269,0.044443726539611816,0.018030166625976562,1.368717676086817e-06,0.9720678329467773,0.5515171885490417,0.1498129665851593,0.29866984486579895,0.0002927319146692753,1.0,,,,,,,,,,,,,,
2,1239,,,0.16627104580402374,0.15555435419082642,0.053583480417728424,0.04188688471913338,0.01851654052734375,1.721501575957518e-06,0.9716485142707825,0.5517466068267822,0.14966917037963867,0.2985842227935791,0.0003190874122083187,1.0,,,,,,,,,,,,,,
2,1259,,,0.14509980380535126,0.13432127237319946,0.05389265716075897,0.036548953503370285,0.018622398376464844,4.164645361015573e-06,0.9712463617324829,0.5525944828987122,0.1497974693775177,0.29760801792144775,0.00027391896583139896,1.0,,,,,,,,,,,,,,
2,1279,,,0.16293132305145264,0.15256035327911377,0.05185488611459732,0.04101422801613808,0.019394874572753906,4.519814865489025e-06,0.9707181453704834,0.552911639213562,0.1491934061050415,0.2978949546813965,0.0002813052851706743,1.0,,,,,,,,,,,,,,
2,1299,,,0.16654066741466522,0.15632347762584686,0.0510859414935112,0.041950806975364685,0.01981067657470703,3.5924194889958017e-06,0.9751362204551697,0.5473350286483765,0.1510833501815796,0.30158162117004395,0.00031556817702949047,1.0,,,,,,,,,,,,,,
2,1319,,,0.15297944843769073,0.14285606145858765,0.05061690881848335,0.03858193755149841,0.019901275634765625,3.9949640040504164e-08,0.9729970693588257,0.5497235059738159,0.15008732676506042,0.30018913745880127,0.00033707544207572937,1.0,,,,,,,,,,,,,,
2,1339,,,0.14980299770832062,0.14023669064044952,0.04783152788877487,0.03776586055755615,0.01865673065185547,9.034060894919094e-06,0.9695855379104614,0.5541286468505859,0.14881132543087006,0.2970600128173828,0.0003149320837110281,1.0,,,,,,,,,,,,,,
2,1359,,,0.1502329707145691,0.14100712537765503,0.0461292564868927,0.03785570338368416,0.02001667022705078,3.854725605378917e-07,0.9738072156906128,0.5491335391998291,0.15055623650550842,0.30031025409698486,0.0002974516246467829,1.0,,,,,,,,,,,,,,
3,1379,,,0.16367360949516296,0.15427160263061523,0.04701003059744835,0.041279762983322144,0.022505760192871094,6.990430847508833e-06,0.9749302268028259,0.546657383441925,0.1502200961112976,0.30312246084213257,0.0003612202126532793,1.0,,,,,,,,,,,,,,
,1400,1224.9173972361987,23.771398843464404,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1399,,,0.1536049097776413,0.14459896087646484,0.04502974450588226,0.03869481012225151,0.018459320068359375,2.1040154507545594e-08,0.9725894927978516,0.5501652359962463,0.15002267062664032,0.29981210827827454,0.0002935826778411865,1.0,,,,,,,,,,,,,,
3,1419,,,0.1603555977344513,0.1513131558895111,0.04521223157644272,0.04042961820960045,0.02037334442138672,1.7353544535581023e-05,0.9766741991043091,0.5444146990776062,0.1511698067188263,0.3044154942035675,0.0003403730224817991,1.0,,,,,,,,,,,,,,
3,1439,,,0.15778815746307373,0.1491355448961258,0.04326309263706207,0.03983074799180031,0.019515037536621094,6.845674533906276e-07,0.9736111164093018,0.5488390922546387,0.15045377612113953,0.3007071614265442,0.00038369488902390003,1.0,,,,,,,,,,,,,,
3,1459,,,0.14698435366153717,0.13872253894805908,0.041309088468551636,0.037120990455150604,0.02365398406982422,1.5842419088585302e-05,0.9763864874839783,0.5448338985443115,0.15064723789691925,0.30451881885528564,0.0003745842259377241,1.0,,,,,,,,,,,,,,
3,1479,,,0.15678122639656067,0.14852583408355713,0.041276972740888596,0.03948112204670906,0.01859760284423828,4.3443384356578463e-07,0.9720388650894165,0.5508648157119751,0.14986875653266907,0.29926639795303345,0.00028580822981894016,1.0,,,,,,,,,,,,,,
